fips,population,median_household_income,cluster_model4,color
17083,22625.0,53271.0,4,orange
17085,22397.0,53221.0,4,orange
17087,12829.0,42287.0,1,green
17089,524886.0,70696.0,37,red
17091,112221.0,52110.0,41,orange
17093,120036.0,84385.0,12,red
17075,29053.0,47834.0,11,orange
17099,112579.0,50633.0,39,orange
17101,16665.0,40841.0,1,green
17073,49883.0,53480.0,4,orange
17105,37689.0,54254.0,4,orange
17107,29956.0,50539.0,40,orange
17109,32009.0,40314.0,1,green
17111,307357.0,77222.0,5,red
17113,173114.0,62211.0,23,orange
17115,109193.0,47176.0,39,orange
17117,46844.0,51206.0,40,orange
17119,267356.0,53431.0,15,orange
17121,38665.0,42238.0,1,green
17123,12173.0,53423.0,4,orange
17125,14126.0,41567.0,1,green
17127,15016.0,40977.0,1,green
46069,1413.0,51776.0,4,orange
46067,7226.0,45075.0,34,green
46065,17466.0,59177.0,46,orange
46063,1328.0,52396.0,4,orange
46061,3386.0,60741.0,46,orange
46059,3375.0,47163.0,11,orange
46057,5982.0,58602.0,46,orange
46055,2083.0,41518.0,1,green
46053,4226.0,37540.0,45,green
46051,7227.0,51272.0,40,orange
46049,2359.0,43679.0,34,green
46045,4018.0,56000.0,22,orange
46043,2973.0,52500.0,4,orange
46041,5579.0,37206.0,24,green
46039,4341.0,53152.0,4,orange
46037,5618.0,39216.0,45,green
46035,19787.0,49991.0,40,orange
46031,4149.0,31676.0,8,green
46029,27750.0,48912.0,40,orange
46027,14011.0,36608.0,24,green
46025,3625.0,49600.0,40,orange
46023,9239.0,43109.0,34,green
46021,1548.0,45170.0,34,green
46017,2038.0,31163.0,8,green
46015,5330.0,49531.0,40,orange
46013,38060.0,53100.0,4,orange
46011,33046.0,50082.0,40,orange
46009,7013.0,45254.0,34,green
46007,3438.0,42171.0,1,green
46005,18168.0,46267.0,11,orange
46003,2729.0,48750.0,11,orange
46095,2086.0,30938.0,8,green
46019,10292.0,41920.0,1,green
46075,781.0,35972.0,24,green
46125,8302.0,53378.0,4,orange
46127,14842.0,64471.0,10,orange
8009,3701.0,38000.0,45,green
8011,5895.0,36791.0,24,green
8017,2002.0,52554.0,4,orange
8025,5551.0,31151.0,8,green
8063,7980.0,40603.0,1,green
8075,21928.0,42319.0,1,green
8087,28359.0,48450.0,11,orange
8089,18572.0,32311.0,8,green
8095,4371.0,43639.0,34,green
8099,12235.0,40179.0,1,green
8111,606.0,36324.0,24,green
8115,2365.0,44191.0,34,green
8121,4795.0,45541.0,34,orange
8125,10185.0,43105.0,34,green
20067,7816.0,55432.0,22,orange
20201,5686.0,45159.0,34,green
20203,2204.0,57171.0,22,orange
20205,9061.0,40306.0,1,green
20207,3211.0,35787.0,24,green
20197,6997.0,54688.0,22,orange
20199,1595.0,47279.0,11,orange
30001,9291.0,41512.0,1,green
30005,6598.0,36744.0,24,green
30007,5692.0,50115.0,40,orange
30011,1227.0,45000.0,34,green
30013,82090.0,45205.0,32,orange
30015,5855.0,38521.0,45,green
30017,11945.0,48750.0,11,orange
30019,1758.0,49239.0,40,orange
30021,9365.0,52738.0,4,orange
30023,9211.0,39399.0,45,green
30025,3057.0,53266.0,4,orange
30027,11468.0,40881.0,1,green
30033,1047.0,39732.0,45,green
30041,16523.0,44633.0,34,green
50009,6207.0,36599.0,24,green
36013,132646.0,42993.0,32,green
36103,1501373.0,88663.0,27,red
25005,552763.0,56842.0,44,orange
36081,2301139.0,57720.0,9,purple
36081,2301139.0,57720.0,9,purple
36047,2595259.0,48201.0,29,purple
36045,118947.0,49505.0,39,orange
33009,89341.0,55762.0,22,orange
54041,16434.0,37849.0,45,green
54033,68998.0,43987.0,34,green
54017,8201.0,39974.0,45,green
13317,9991.0,32727.0,8,green
13315,8972.0,32043.0,8,green
13313,103456.0,40596.0,1,green
13311,27791.0,40888.0,1,green
13309,7956.0,27620.0,48,green
13307,2720.0,37063.0,24,green
13305,30046.0,38955.0,45,green
13303,20785.0,37932.0,45,green
13301,5561.0,29176.0,48,green
13299,35723.0,34909.0,24,green
13295,68285.0,41632.0,1,green
13291,21725.0,40799.0,1,green
13289,8509.0,30468.0,8,green
13287,8338.0,31806.0,8,green
13285,68867.0,41489.0,1,green
13283,6762.0,38596.0,45,green
13281,10800.0,37000.0,24,green
13279,27210.0,33679.0,8,green
13277,40787.0,37653.0,45,green
13275,44824.0,36641.0,24,green
13273,9213.0,28688.0,48,green
13271,16416.0,26449.0,48,green
13267,25302.0,33980.0,8,green
13265,1721.0,26306.0,48,green
13263,6490.0,34078.0,8,green
13261,31429.0,32758.0,8,green
13259,5868.0,21118.0,17,green
13257,25620.0,40315.0,1,green
13255,63873.0,40246.0,1,green
13251,14206.0,34466.0,24,green
13249,5074.0,39375.0,45,green
13247,86901.0,50455.0,39,orange
13245,201291.0,37424.0,43,green
13243,7315.0,28377.0,48,green
13241,16266.0,35211.0,24,green
13237,21247.0,44299.0,34,green
13235,11590.0,38750.0,45,green
13233,41215.0,37853.0,45,green
13231,17812.0,51338.0,40,orange
13229,18934.0,40247.0,1,green
13227,29740.0,54123.0,4,orange
13225,27086.0,41588.0,1,green
13223,147400.0,60109.0,23,orange
13221,14688.0,44226.0,34,green
13219,34400.0,72182.0,35,red
13217,102645.0,49179.0,39,orange
13215,200285.0,42306.0,43,green
13091,21180.0,34271.0,24,green
13093,14293.0,28696.0,48,green
13095,93310.0,32084.0,8,green
13097,136520.0,53881.0,41,orange
13099,10579.0,31680.0,8,green
13101,4048.0,32959.0,8,green
13105,19537.0,35388.0,24,green
13107,22731.0,32229.0,8,green
13111,23742.0,37049.0,24,green
13113,108655.0,79066.0,25,red
13115,96169.0,41549.0,1,green
13117,196236.0,88816.0,12,red
13119,22110.0,33816.0,8,green
13123,28673.0,40228.0,1,green
13125,3087.0,40759.0,1,green
13129,55889.0,41612.0,1,green
13131,25243.0,34187.0,24,green
13133,16331.0,42408.0,1,green
13135,859234.0,60289.0,6,red
13137,43527.0,40907.0,1,green
13139,187916.0,51202.0,41,orange
13141,8881.0,24925.0,17,green
13143,28565.0,41910.0,1,green
13145,32776.0,63824.0,10,orange
13147,25498.0,37653.0,45,green
13149,11617.0,41525.0,1,green
13151,211512.0,60424.0,23,orange
13153,147570.0,53270.0,41,orange
13155,9408.0,34156.0,24,green
13157,61420.0,53379.0,4,orange
13063,267234.0,40938.0,43,green
13163,16374.0,26557.0,48,green
18163,181305.0,43046.0,32,green
18161,7299.0,44277.0,34,green
18159,15573.0,51613.0,4,orange
18157,180952.0,45932.0,32,orange
18155,10500.0,44061.0,34,green
18153,21111.0,45023.0,34,green
18151,34267.0,48472.0,11,orange
18149,23117.0,42208.0,1,green
18147,20856.0,55247.0,22,orange
18145,44441.0,53584.0,4,orange
18143,23783.0,44442.0,34,green
18141,267246.0,45471.0,20,orange
18139,16991.0,45121.0,34,green
18175,27930.0,41289.0,1,green
18135,25596.0,40810.0,1,green
18133,37650.0,51355.0,40,orange
18131,13047.0,43836.0,34,green
18129,25567.0,58101.0,46,orange
18127,166570.0,63926.0,28,orange
18125,12687.0,44399.0,34,green
18123,19414.0,47470.0,11,orange
18121,17107.0,40781.0,1,green
18119,21192.0,43948.0,34,green
18117,19725.0,39812.0,45,green
18115,6033.0,48780.0,40,orange
18113,47546.0,49331.0,40,orange
18111,14057.0,46895.0,11,orange
18109,69403.0,55432.0,22,orange
18107,38172.0,48213.0,11,orange
18105,142404.0,42404.0,32,green
18103,36211.0,45184.0,34,green
18101,10262.0,44589.0,34,green
19163,169994.0,55114.0,41,orange
19161,10101.0,49572.0,40,orange
19159,5061.0,47042.0,11,orange
19157,18705.0,51006.0,40,orange
19155,93213.0,51976.0,41,orange
19153,452369.0,60061.0,44,orange
19151,7127.0,45069.0,34,green
19149,24853.0,57130.0,22,orange
19147,9208.0,47113.0,11,orange
19145,15660.0,43912.0,34,green
19143,6211.0,49448.0,40,orange
19141,14092.0,55227.0,22,orange
19139,42913.0,53676.0,4,orange
19137,10465.0,42418.0,1,green
19135,8002.0,46304.0,11,orange
19133,9088.0,40302.0,1,green
19131,10762.0,49488.0,40,orange
19129,14862.0,63979.0,10,orange
19127,40962.0,53351.0,4,orange
19125,33248.0,54693.0,22,orange
19123,22396.0,48726.0,11,orange
19121,15644.0,60060.0,46,orange
19119,11723.0,57130.0,22,orange
19117,8731.0,43962.0,34,green
19115,11271.0,51144.0,40,orange
19113,216640.0,59322.0,23,orange
19111,35369.0,43312.0,34,green
19109,15280.0,51496.0,40,orange
19107,10291.0,43838.0,34,green
19103,139436.0,55700.0,23,orange
19101,17318.0,42899.0,34,green
19097,19572.0,49028.0,40,orange
51137,34596.0,65166.0,10,orange
51157,7431.0,57210.0,22,orange
51165,77785.0,53744.0,4,orange
51171,42724.0,49406.0,40,orange
51187,38481.0,61454.0,46,orange
51003,103108.0,68449.0,28,red
51177,127691.0,78125.0,25,red
51015,74053.0,54558.0,22,orange
51069,81340.0,69098.0,28,red
51079,18938.0,61550.0,10,orange
51047,48424.0,66697.0,28,orange
51043,14299.0,71295.0,35,red
51113,13147.0,47736.0,11,orange
51139,23843.0,43895.0,34,green
54065,17475.0,39324.0,45,green
54037,55214.0,66677.0,28,orange
54031,13936.0,40303.0,1,green
54003,108724.0,55239.0,22,orange
24013,167444.0,85385.0,12,red
24027,304115.0,110238.0,16,red
51107,351129.0,123453.0,16,red
51091,2244.0,43914.0,34,green
54071,7402.0,36953.0,24,green
51061,67463.0,91609.0,47,red
24001,73549.0,40551.0,1,green
54057,27755.0,31790.0,8,green
54023,11815.0,39088.0,45,green
51660,69729.68468468469,56205.06306306306,22,orange
51820,69729.68468468469,56205.06306306306,22,orange
51840,69729.68468468469,56205.06306306306,22,orange
51790,69729.68468468469,56205.06306306306,22,orange
13213,39401.0,35539.0,24,green
13211,17900.0,51820.0,4,orange
13209,8968.0,34672.0,24,green
13207,26915.0,48744.0,11,orange
13205,22982.0,31915.0,8,green
13201,5936.0,33983.0,8,green
13199,21297.0,35832.0,24,green
13197,8739.0,36242.0,24,green
13195,28232.0,41912.0,1,green
13189,21582.0,36656.0,24,green
13187,30921.0,43804.0,34,green
13185,113203.0,36834.0,24,green
13181,7720.0,34243.0,24,green
13175,47886.0,32356.0,8,green
13173,10403.0,37605.0,45,green
13171,18114.0,40344.0,1,green
13169,28738.0,51857.0,4,orange
13167,9794.0,34438.0,24,green
13165,8922.0,24604.0,17,green
13319,9386.0,38485.0,45,green
13161,14990.0,36385.0,24,green
13293,26528.0,35774.0,24,green
13193,14045.0,28684.0,48,green
13109,10814.0,37865.0,45,green
13177,28946.0,61537.0,10,orange
13269,8401.0,28143.0,48,green
13027,15637.0,32663.0,8,green
13001,18417.0,37135.0,24,green
13003,8294.0,30933.0,8,green
13005,11222.0,37162.0,24,green
13007,3292.0,44297.0,34,green
13009,45795.0,32460.0,8,green
13011,18336.0,41472.0,1,green
13013,72012.0,52012.0,4,orange
13015,101336.0,48893.0,39,orange
13017,17477.0,29994.0,48,green
13019,19019.0,31835.0,8,green
13021,154816.0,36519.0,43,green
13023,12746.0,38991.0,45,green
13025,18452.0,37206.0,24,green
13031,72386.0,36032.0,24,green
13033,23007.0,33641.0,8,green
13035,23445.0,41667.0,1,green
13037,6489.0,25513.0,17,green
13043,11031.0,30185.0,48,green
13045,112595.0,43586.0,32,green
13047,65375.0,50876.0,40,orange
13053,11914.0,43378.0,34,green
13055,25241.0,32913.0,8,green
13057,225944.0,68926.0,5,red
13059,120905.0,32162.0,8,green
13321,21156.0,37974.0,45,green
13065,6791.0,24015.0,17,green
13067,719133.0,65873.0,26,red
13069,43003.0,33965.0,8,green
13071,46024.0,32409.0,8,green
13073,136204.0,71021.0,35,red
13075,17033.0,35683.0,24,green
13077,133416.0,62461.0,10,orange
13079,12539.0,41825.0,1,green
13081,23314.0,31615.0,8,green
13083,16445.0,46434.0,11,orange
13085,22673.0,56943.0,22,orange
13089,716331.0,51376.0,6,orange
26001,10550.0,38033.0,45,green
26165,32751.0,41534.0,1,green
26069,25401.0,37317.0,45,green
26015,59147.0,55064.0,22,orange
26023,43706.0,44373.0,34,green
26025,134790.0,42520.0,32,green
26027,51952.0,46570.0,11,orange
26035,30710.0,33015.0,8,green
26037,76905.0,60909.0,46,orange
26039,13895.0,41743.0,1,green
26043,26012.0,43779.0,34,green
26045,108341.0,54993.0,22,orange
26049,415874.0,42327.0,20,green
26051,25501.0,38021.0,45,green
26057,41878.0,41912.0,1,green
26059,46178.0,41961.0,1,green
26065,283491.0,45679.0,20,orange
26067,64064.0,49124.0,39,orange
26071,11507.0,33663.0,8,green
26073,70669.0,39377.0,45,green
26075,159759.0,46326.0,32,orange
26077,256752.0,47476.0,20,orange
26079,17230.0,40534.0,1,green
26081,622590.0,53063.0,30,orange
26085,11426.0,30439.0,8,green
26087,88235.0,52996.0,4,orange
26091,98902.0,48043.0,39,orange
26093,184591.0,75204.0,25,red
26101,24536.0,41395.0,1,green
