fips,ir_wfrto,ir_recww,cluster_model2,color
21151,0.1,0.0,27,red
21153,0.05,0.0,27,red
21155,0.14,0.0,27,red
21157,0.12,0.0,27,red
21159,0.0,0.0,27,red
21161,0.01,0.0,27,red
21163,0.04,0.0,27,red
21165,0.11,0.0,27,red
21167,0.02,0.0,27,red
21169,0.05,0.0,27,red
21171,0.04,0.0,27,red
21173,0.0,0.0,27,red
21175,0.02,0.0,27,red
21177,0.11,0.0,27,red
21179,0.32,0.0,27,red
21181,0.06,0.0,27,red
21183,0.25,0.0,27,red
21185,0.11,0.0,27,red
21187,0.28,0.0,27,red
21189,0.02,0.0,27,red
21191,0.45,0.0,27,red
21193,0.05,0.0,27,red
21195,0.0,0.0,27,red
21197,0.01,0.0,27,red
21199,0.46,0.0,0,red
21201,0.02,0.0,27,red
21203,0.01,0.0,27,red
21205,0.04,0.0,27,red
21207,0.01,0.0,27,red
21209,0.37,0.0,27,red
21211,0.71,0.0,27,red
21213,0.08,0.0,27,red
21215,0.16,0.0,27,red
21217,0.04,0.0,27,red
21219,0.67,0.0,27,red
21221,0.71,0.0,27,red
21223,0.04,0.0,27,red
21225,1.19,0.0,27,red
21227,0.67,0.0,0,red
21229,0.15,0.0,27,red
21231,0.06,0.0,27,red
21233,0.17,0.0,27,red
21235,0.01,0.0,27,red
21237,0.02,0.0,27,red
21239,0.15,0.0,27,red
21129,0.01,0.0,27,red
21075,1.09,0.0,27,red
21001,0.03,0.0,27,red
21003,0.34,0.0,27,red
21005,0.1,0.0,27,red
21007,0.19,0.0,27,red
21009,0.24,0.0,27,red
21011,0.02,0.0,27,red
21013,0.01,0.0,27,red
21015,0.31,0.0,27,red
21017,0.57,0.0,0,red
21019,0.01,0.0,27,red
21021,0.24,0.0,27,red
21023,0.09,0.0,27,red
21025,0.01,0.0,27,red
21027,0.02,0.0,27,red
21029,0.79,0.0,27,red
21031,0.07,0.0,27,red
21033,0.85,0.0,27,red
21035,1.72,0.0,27,red
21037,0.15,0.0,27,red
21039,0.27,0.0,27,red
21041,0.03,0.0,27,red
21043,0.02,0.0,27,red
21045,0.04,0.0,27,red
21047,1.62,0.0,27,red
21049,0.1,0.0,27,red
21051,0.08,0.0,27,red
21107,0.09,0.0,27,red
21055,0.5,0.0,27,red
21057,0.17,0.0,27,red
21059,4.39,0.0,27,red
21061,0.01,0.0,27,red
21063,0.04,0.0,27,red
21065,0.0,0.0,27,red
21067,1.36,0.0,0,red
21069,0.07,0.0,27,red
21071,0.0,0.0,27,red
21073,0.25,0.0,27,red
