fips,to_wtotl,ps_wtotl,cluster_model3,color
21019,39.9,11.09,31,red
21021,6.6,5.58,4,red
21023,1.19,0.65,4,red
21025,12.07,1.41,4,red
21027,2.93,1.8,4,red
21029,4.91,0.0,4,red
21031,1.59,1.21,4,red
21033,2.5,0.0,4,red
21035,6.99,3.47,4,red
21037,26.82,26.34,39,red
21039,0.86,0.14,4,red
21041,41.66,1.87,4,red
21043,4.43,4.09,4,red
21045,1.86,1.01,4,red
21047,15.37,12.19,31,red
21049,12.99,6.9,4,red
21051,5.6,5.2,4,red
21107,26.96,9.63,31,red
21055,1.27,0.47,4,red
21057,0.97,0.63,4,red
21059,194.66,13.36,42,red
21061,1.96,1.67,4,red
21063,0.53,0.19,4,red
21065,1.52,1.31,4,red
21067,36.98,35.21,39,red
21069,1.41,0.21,4,red
21071,5.27,4.52,4,red
21073,18.46,16.1,31,red
21077,2.01,0.6,4,red
21079,2.2,1.43,4,red
21081,2.14,1.7,4,red
21083,10.71,2.62,4,red
21085,3.43,2.64,4,red
21087,3.28,0.84,4,red
21089,20.73,3.8,4,red
21091,28.55,0.53,4,red
21093,15.57,14.33,31,red
21095,3.86,3.4,4,red
21097,4.19,2.78,4,red
21105,3.62,0.13,4,red
21103,0.77,0.0,4,red
21101,17.24,8.68,31,red
21099,5.0,4.1,4,red
21125,9.47,8.9,31,red
21053,4.33,3.75,4,red
26143,2.94,0.28,4,red
26145,3.79,0.42,0,red
26149,56.38,3.25,21,red
26155,6.51,2.89,4,red
26161,30.3,18.36,39,red
28005,2.58,1.34,4,red
28007,5.0,2.24,4,red
28009,5.26,0.49,4,red
28001,7.3,4.92,4,red
28161,6.22,2.22,4,red
28159,2.54,2.0,4,red
28157,1.78,1.02,4,red
28155,2.2,1.4,4,red
28153,4.92,2.62,4,red
28151,315.1,11.55,13,red
28149,40.58,7.99,31,red
28147,3.16,2.64,4,red
28145,3.54,2.57,4,red
28143,108.61,3.1,21,red
28141,3.32,2.55,4,red
28139,3.73,2.69,4,red
28137,9.25,1.81,4,red
28135,98.73,1.31,21,red
28133,284.12,3.01,13,red
28131,3.75,1.46,4,red
28129,2.67,1.18,4,red
28127,5.34,3.6,4,red
28125,74.72,0.52,21,red
28123,10.06,8.02,31,red
28121,20.76,17.66,39,red
28119,79.91,0.74,21,red
28117,3.4,3.28,4,red
28115,5.7,3.45,4,red
28111,24.55,1.23,4,red
28107,22.94,3.35,4,red
28105,8.9,7.58,31,red
28103,35.33,1.37,4,red
28101,3.78,2.47,4,red
28099,5.86,4.47,4,red
28097,2.13,1.3,4,red
28095,19.23,3.63,4,red
28093,8.68,2.53,4,red
28091,4.86,3.62,4,red
19045,213.66,3.87,42,red
19047,5.97,2.96,4,red
19049,3.45,1.47,4,red
19051,1.76,0.0,4,red
19053,1.51,0.55,4,red
19197,6.84,1.24,4,red
19191,6.94,1.33,4,red
19193,658.49,13.97,6,purple
19195,13.14,0.45,4,red
19105,3.4,0.89,4,red
19187,19.69,11.01,31,red
19189,2.85,0.89,4,red
17077,74.37,5.96,21,red
17081,1.22,0.0,4,red
17083,1.4,1.08,4,red
17085,5.76,2.03,4,red
17087,1.57,0.86,4,red
17089,69.59,61.75,45,red
17091,23.16,13.26,31,red
17093,11.85,7.66,31,red
17075,4.21,1.99,4,red
17099,115.17,9.07,21,red
17101,13.99,0.62,4,red
17073,10.85,3.97,4,red
17105,7.93,5.66,4,red
17107,5.69,2.88,4,red
17109,3.45,2.63,4,red
17111,33.22,18.7,39,red
17113,13.47,10.5,0,red
17115,35.9,20.02,39,red
17117,4.48,2.96,4,red
17119,336.39,52.4,36,red
17121,1.91,0.99,4,red
17123,3.28,1.67,4,red
17125,76.22,0.57,21,red
17127,535.74,4.73,6,red
46069,0.8,0.11,4,red
46067,3.8,0.39,4,red
46065,20.41,2.67,4,red
46063,1.59,0.03,4,red
46061,1.15,0.09,4,red
46059,1.9,0.21,4,red
46057,5.4,0.41,4,red
46055,1.03,0.11,4,red
46053,1.91,0.26,4,red
46051,10.46,0.63,4,red
46049,1.0,0.15,4,red
46045,1.42,0.26,4,red
46043,2.58,0.18,4,red
46041,1.26,0.33,4,red
46039,1.48,0.17,4,red
46037,1.93,0.44,4,red
46035,2.86,1.92,4,red
46031,1.67,0.18,4,red
46029,12.49,3.74,4,red
46027,10.08,1.02,4,red
46025,3.82,0.16,4,red
46023,10.76,0.55,4,red
46021,5.86,0.08,4,red
46017,8.77,0.1,4,red
46015,3.93,0.52,4,red
46013,14.61,3.47,4,red
46011,20.68,2.77,4,red
46009,8.48,0.56,4,red
46007,9.67,0.17,4,red
46005,13.11,2.29,4,red
46003,0.92,0.19,4,red
46095,1.42,0.09,4,red
46019,6.12,0.52,4,red
46075,0.49,0.05,4,red
46125,17.09,0.47,4,red
46127,8.08,1.59,4,red
8009,126.51,0.45,21,red
8011,169.24,0.81,42,red
8017,30.45,0.36,4,red
8025,14.02,1.0,4,red
8063,114.42,1.27,21,red
8075,150.81,3.26,42,red
8087,142.33,5.96,42,red
8089,354.06,3.99,13,red
8095,75.06,0.8,21,red
8099,113.66,1.91,21,red
8111,0.27,0.24,4,red
8115,74.54,0.69,21,red
8121,48.73,0.35,4,red
8125,331.15,1.42,13,red
20067,101.06,1.22,21,red
20201,6.62,0.78,4,red
20203,40.17,0.29,4,red
20205,2.14,1.36,4,red
20207,1.18,0.3,4,red
20197,2.93,0.54,4,red
20199,36.89,0.22,4,red
30001,836.9,1.82,30,purple
30005,345.18,0.93,13,red
30007,199.86,1.03,42,red
30011,36.5,0.04,4,red
30013,189.95,12.79,42,red
30015,91.97,0.88,21,red
30017,134.99,1.39,21,red
30019,6.72,0.21,4,red
30021,82.16,1.75,21,red
30023,72.04,2.3,21,red
30025,7.22,0.28,4,red
30027,126.83,1.06,21,red
30033,12.38,0.04,4,red
30041,51.44,2.15,21,red
50009,0.68,0.25,4,red
36013,134.05,12.58,42,red
36103,1344.81,246.12,43,orange
25005,56.75,26.6,11,red
36081,1140.15,0.0,27,purple
36081,1140.15,0.0,27,purple
36047,50.02,0.0,20,orange
36045,22.06,9.29,31,red
