year,FIPS,normal_wet,abnormally_dry,moderate_drought,severe_drought,extreme_drought,exceptional_drought
2000,13025,11.54,88.46,62.04,46.15,3.99,0.0
2000,13027,0.14,99.86,91.71,75.4,17.65,5.77
2000,13029,4.39,95.61,73.91,34.83,6.29,0.0
2000,13031,0.0,100.0,95.81,41.64,13.46,0.28
2000,13033,0.0,100.0,100.0,48.76,27.91,4.61
2000,13035,0.0,100.0,100.0,85.08,36.4,21.15
2000,13037,0.0,100.0,100.0,98.36,40.99,10.22
2000,13039,15.28,84.72,59.46,37.58,2.23,0.0
2000,13043,0.0,100.0,100.0,45.91,15.38,4.13
2000,13045,0.0,100.0,100.0,92.3,44.23,12.16
2000,13047,0.0,100.0,86.63,48.99,7.91,0.0
2000,13049,11.18,88.82,63.45,49.25,4.26,0.0
2000,13051,13.57,86.43,63.04,28.02,2.75,0.0
2000,13053,0.0,100.0,100.0,92.35,50.76,21.18
2000,13055,0.0,100.0,99.8,65.32,22.35,0.21
2000,13057,0.0,100.0,100.0,68.47,26.96,0.47
2000,13059,0.0,100.0,100.0,66.49,34.62,10.73
2000,13061,0.0,100.0,100.0,99.81,44.68,16.32
2000,13063,0.0,100.0,100.0,86.75,42.73,15.91
2000,13065,11.13,88.87,68.71,54.9,5.63,0.31
2000,13067,0.0,100.0,100.0,83.46,33.18,3.66
2000,13069,3.56,96.44,86.95,60.97,12.19,5.04
2000,13071,0.02,99.98,92.65,83.9,19.3,5.77
2000,13073,0.0,100.0,100.0,59.59,32.71,9.41
2000,13075,6.74,93.26,85.0,70.77,18.52,5.77
2000,13077,0.0,100.0,100.0,91.4,44.6,16.77
2000,13079,0.0,100.0,100.0,88.46,44.17,11.86
2000,13081,0.0,100.0,100.0,93.16,32.3,7.69
2000,13083,3.39,96.61,85.32,59.86,20.42,0.0
2000,13085,0.0,100.0,100.0,57.08,20.18,0.0
2000,13087,0.0,100.0,100.0,85.2,31.16,11.11
2000,13089,0.0,100.0,100.0,82.39,33.9,8.37
2000,13091,0.0,100.0,100.0,85.15,27.26,8.5
2000,13093,0.0,100.0,100.0,95.89,39.64,9.56
2000,13095,0.0,100.0,100.0,92.12,27.07,7.26
2000,13097,0.0,100.0,100.0,88.96,43.5,7.82
2000,13099,0.0,100.0,100.0,93.03,42.12,11.58
2000,13101,7.57,92.43,75.97,57.42,6.44,0.0
2000,13103,0.42,99.58,82.98,27.79,7.89,0.0
2000,13105,0.0,100.0,99.91,59.92,34.6,11.2
2000,13107,0.0,100.0,100.0,47.65,22.37,8.97
2000,13109,0.0,100.0,94.05,48.89,13.19,0.0
2000,13111,0.0,100.0,98.85,36.22,10.06,0.0
2000,13113,0.0,100.0,100.0,88.44,44.3,19.17
2000,13115,0.0,100.0,100.0,65.58,29.28,1.29
2000,13117,0.0,100.0,100.0,64.27,27.51,0.59
2000,13119,0.0,100.0,100.0,62.36,31.69,3.84
2000,13121,0.0,100.0,100.0,83.04,38.03,6.93
2000,13123,0.0,100.0,100.0,41.56,12.0,0.0
2000,13125,0.0,100.0,100.0,62.63,32.69,15.38
2000,13127,20.56,79.44,54.72,37.76,2.32,0.0
2000,13129,0.0,100.0,100.0,58.81,15.69,0.0
2000,13131,0.0,100.0,100.0,89.17,25.41,9.47
2000,13133,0.0,100.0,100.0,72.49,34.8,17.73
2000,13135,0.0,100.0,100.0,72.27,32.79,4.7
2000,13137,0.0,100.0,99.99,57.77,18.54,1.33
2000,13139,0.0,100.0,100.0,62.48,26.96,1.08
2000,13141,0.0,100.0,100.0,72.61,38.17,18.6
2000,13143,0.0,100.0,100.0,91.61,44.23,6.38
2000,13145,0.0,100.0,100.0,92.31,48.56,21.52
2000,13147,0.0,100.0,99.38,59.77,33.08,5.73
2000,13149,0.0,100.0,100.0,92.31,44.43,15.94
2000,13151,0.0,100.0,100.0,86.16,39.4,20.46
2000,13153,0.0,100.0,100.0,88.48,42.31,11.54
2000,13155,0.35,99.65,89.0,78.64,19.86,6.1
2000,13157,0.0,100.0,100.0,63.62,32.68,4.19
2000,13159,0.0,100.0,100.0,77.41,35.23,21.2
2000,13161,0.0,100.0,89.84,62.75,13.5,7.6
2000,13163,0.0,100.0,100.0,56.59,32.16,11.53
2000,13165,0.0,100.0,100.0,45.32,21.62,4.66
