,STATE,COUNTYNAME,FIPS,LON,LAT
206,VA,Amherst,51009,-79.1451,37.6048
207,VA,Lee,51105,-83.1285,36.7055
208,VT,Lamoille,50015,-72.6414,44.6057
209,VT,Orange,50017,-72.3769,44.0056
210,VT,Bennington,50003,-73.0929,43.0355
211,VT,Orleans,50019,-72.2438,44.8288
212,VT,Washington,50023,-72.6149,44.2734
213,VT,Grand Isle,50013,-73.2948,44.7968
214,WV,Raleigh,54081,-81.2486,37.7714
215,WV,Putnam,54079,-81.909,38.5086
216,WV,Preston,54077,-79.6681,39.4693
217,WV,Pocahontas,54075,-80.0077,38.3318
218,WV,Pleasants,54073,-81.1606,39.3709
219,WV,Ohio,54069,-80.6189,40.0969
220,WV,Nicholas,54067,-80.7993,38.2917
221,WV,Monroe,54063,-80.5505,37.5604
222,WV,Monongalia,54061,-80.0465,39.6303
223,WV,Mingo,54059,-82.1346,37.7264
224,WV,Mercer,54055,-81.1114,37.4055
225,WV,Mason,54053,-82.0265,38.7697
226,WV,Marshall,54051,-80.6634,39.8606
227,WV,Marion,54049,-80.2434,39.51
228,WV,McDowell,54047,-81.6536,37.3785
229,WV,Logan,54045,-81.9353,37.8316
230,WV,Lincoln,54043,-82.0705,38.1753
231,WV,Kanawha,54039,-81.5281,38.3365
232,WV,Jackson,54035,-81.6748,38.8344
233,WV,Hancock,54029,-80.5739,40.5213
234,WV,Greenbrier,54025,-80.4529,37.9469
235,WV,Randolph,54083,-79.8758,38.7748
236,WV,Gilmer,54021,-80.8571,38.9241
237,WV,Fayette,54019,-81.0811,38.0288
238,WV,Clay,54015,-81.0751,38.4626
239,WV,Calhoun,54013,-81.1175,38.8445
240,WV,Cabell,54011,-82.2417,38.4203
241,WV,Brooke,54009,-80.5765,40.2733
242,WV,Braxton,54007,-80.7193,38.6998
243,WV,Boone,54005,-81.7113,38.0231
244,WV,Wetzel,54103,-80.6391,39.6053
245,WV,Wirt,54105,-81.3786,39.0224
246,WV,Wood,54107,-81.515,39.2111
247,WV,Wyoming,54109,-81.5491,37.6096
248,WV,Barbour,54001,-80.003,39.1329
249,WV,Taylor,54091,-80.0461,39.336
250,WV,Webster,54101,-80.4219,38.4947
251,WV,Wayne,54099,-82.427,38.1461
252,WV,Upshur,54097,-80.2334,38.8978
253,WV,Tyler,54095,-80.8849,39.4653
254,WV,Tucker,54093,-79.565,39.1136
255,WV,Summers,54089,-80.8586,37.6559
256,WV,Roane,54087,-81.3483,38.714
257,WV,Ritchie,54085,-81.0629,39.1783
258,PA,Northumberland,42097,-76.7091,40.852
259,ME,Androscoggin,23001,-70.2045,44.1654
260,NJ,Hudson,34017,-74.0825,40.7068
261,NY,Richmond,36085,-74.1557,40.5802
262,NJ,Essex,34013,-74.1293,40.69
263,NY,Richmond,36085,-74.1343,40.6435
264,NJ,Hudson,34017,-74.0778,40.7409
265,NJ,Bergen,34003,-73.9344,40.9001
266,NY,Westchester,36119,-73.8998,40.9601
267,NY,Bronx,36005,-73.8669,40.8527
268,NY,New York,36061,-73.9689,40.7786
269,NY,Bronx,36005,-73.8707,40.825
270,RI,Bristol,44001,-71.2842,41.7161
271,MA,Dukes,25007,-70.6561,41.3966
272,NY,Niagara,36063,-78.7427,43.2011
273,NY,Wayne,36117,-77.0292,43.1566
274,NY,Oswego,36075,-76.1412,43.4261
275,NY,Orleans,36073,-78.2312,43.2522
276,NY,Monroe,36055,-77.6958,43.1464
277,ME,Knox,23013,-69.173,44.15
278,ME,Sagadahoc,23023,-69.8613,43.9705
279,ME,Lincoln,23015,-69.5431,44.0752
280,NH,Merrimack,33013,-71.6802,43.2977
281,NJ,Union,34039,-74.1597,40.6572
