fips,ps_wtotl,do_psdel,state,cluster_model1,color
21031,1.21,0.82,KY,170,red
21033,0.0,0.8,KY,217,red
21035,3.47,2.17,KY,155,red
21037,26.34,6.14,KY,40,red
21039,0.14,0.16,KY,111,red
21041,1.87,0.69,KY,243,red
21043,4.09,1.76,KY,162,red
21045,1.01,0.79,KY,15,red
21047,12.19,4.53,KY,213,red
21049,6.9,2.49,KY,163,red
21051,5.2,1.2,KY,101,red
21107,9.63,3.1,KY,54,red
21055,0.47,0.55,KY,278,red
21057,0.63,0.46,KY,278,red
21059,13.36,6.67,KY,33,red
21061,1.67,0.81,KY,243,red
21063,0.19,0.25,KY,111,red
21065,1.31,0.83,KY,170,red
21067,35.21,21.9,KY,274,red
21069,0.21,0.83,KY,217,red
21071,4.52,2.18,KY,225,red
21073,16.1,3.39,KY,139,red
21077,0.6,0.55,KY,15,red
21079,1.43,1.09,KY,170,red
21081,1.7,1.46,KY,166,red
21083,2.62,1.99,KY,122,red
21085,2.64,1.54,KY,52,red
21087,0.84,0.76,KY,15,red
21089,3.8,2.24,KY,155,red
21091,0.53,0.46,KY,278,red
21093,14.33,6.93,KY,192,red
21095,3.4,1.39,KY,162,red
21097,2.78,1.21,KY,290,red
21105,0.13,0.18,KY,111,red
21103,0.0,0.98,KY,217,red
21101,8.68,2.95,KY,54,red
21099,4.1,1.24,KY,289,red
21125,8.9,3.88,KY,135,red
21053,3.75,0.65,KY,289,red
26143,0.28,0.15,MI,111,red
26145,0.42,10.6,MI,47,red
26149,3.25,1.89,MI,162,red
26155,2.89,1.85,MI,122,red
26161,18.36,19.23,MI,61,red
28005,1.34,0.73,MS,170,red
28007,2.24,1.66,MS,122,red
28009,0.49,0.35,MS,278,red
28001,4.92,3.02,MS,4,red
28161,2.22,1.24,MS,52,red
28159,2.0,1.79,MS,250,red
28157,1.02,0.86,MS,170,red
28155,1.4,0.93,MS,170,red
28153,2.62,1.88,MS,122,red
28151,11.55,4.47,MS,213,red
28149,7.99,3.92,MS,277,red
28147,2.64,1.43,MS,52,red
28145,2.57,2.24,MS,282,red
28143,3.1,0.44,MS,258,red
28141,2.55,1.86,MS,122,red
28139,2.69,2.09,MS,282,red
28137,1.81,1.4,MS,166,red
